"id","__typename","archived","buyPrice","createdAt","htpValue","owner","portfolioStockId","realizedPl","realizedPlPercent","remainingShares","sellTxnCount","sharesSold","stpValue","totalInvestment","totalSharesQty","tpPercent","tpValue","updatedAt","walletType"
"4152617b-9f74-4819-af55-1048f6e7685c","StockWallet","","396.64","2025-06-17T18:25:46.381Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","35.59","8.97","0","1","1","428.37","396.64","1","null","428.37","2025-09-16T01:40:24.128Z","Swing"
"07bc82d4-0a7a-46ab-b3e4-20c85ee7faa5","StockWallet","false","456.13","2025-09-16T14:09:15.341Z","529.1108","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","0","0","0.5","0","0","492.6204","228.06","0.5","","","2025-10-07T01:34:43.659Z","Hold"
"e42d3e92-03c3-43fc-ade4-df0ff1325d28","StockWallet","","404.55","2025-06-09T15:04:02.681Z","469.278","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","0","0","1","0","0","436.914","404.55","1","null","436.91","2025-10-07T01:34:43.922Z","Hold"
"011eb751-980d-474c-8707-7c7f36cf4bee","StockWallet","false","456.13","2025-09-16T14:09:14.898Z","529.1108","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","0","0","0.5","0","0","492.6204","228.06","0.5","","","2025-10-07T01:34:44.191Z","Swing"
"cea21abe-904a-422f-808c-dd14dbe86509","StockWallet","","372.91","2025-05-06T14:17:25.295Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","35.4","9.49","0","1","1","402.74","372.91","1","null","402.74","2025-09-16T01:40:36.825Z","Swing"
"a42353ef-5323-4d78-a03b-04aa145249c7","StockWallet","","383.92","2025-06-10T15:28:53.311Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","29.91","7.79","0","1","1","414.63","383.92","1","null","414.63","2025-09-16T01:40:41.786Z","Swing"
"cf5e9cdf-d53a-4dd9-a697-d148d3fe42c2","StockWallet","","280.94","2025-04-20T21:43:25.916Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","27.53","19.5985","0","1","0.5","303.42","140.47","0.5","null","303.42","2025-09-16T01:40:42.867Z","Swing"
"d14f7a1a-02d9-4023-8fdf-691fbed82b26","StockWallet","false","404.38","2025-07-02T14:09:47.330Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","33.69","8.33","0","1","1","436.73","404.38","1","null","436.73","2025-09-16T01:41:07.702Z","Swing"
"668bd6cd-c89c-4eeb-aa79-e6f3baf3b11d","StockWallet","","412.77","2025-06-04T14:07:43.184Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","45.1","10.93","0","1","1","445.79","412.77","1","null","445.79","2025-09-16T01:41:11.824Z","Swing"
"b41f8597-104f-40c3-bae4-db83d826819d","StockWallet","","299.53","2025-04-20T21:29:30.529Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","11.82","7.8924","0","1","0.5","323.49","149.76","0.5","null","323.49","2025-09-16T01:41:21.576Z","Swing"
"754b8460-0d8b-4766-88bb-5a26a0c9ef2e","StockWallet","","306.57","2025-04-23T14:27:38.789Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","31.27","10.2","0","1","1","331.1","306.57","1","null","331.1","2025-09-16T01:41:32.365Z","Swing"
"a8c87ef8-b7e0-4be4-ad14-09180f73d28b","StockWallet","","331.57","2025-04-21T21:03:14.166Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","38.53","11.62","0","1","1","358.1","331.57","1","null","358.1","2025-09-16T01:41:37.052Z","Swing"
"65db17ed-f442-478a-af1c-938177c46152","StockWallet","false","409.29","2025-07-22T14:11:53.182Z","474.7764","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","0","0","1","0","0","442.0332","409.29","1","null","442.0332","2025-10-07T01:34:44.333Z","Hold"
"15de3e21-eac5-456d-a422-e2e74bad4b37","StockWallet","","300.18","2025-04-20T21:30:12.866Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","18.25","12.1594","0","1","0.5","324.19","150.09","0.5","null","324.19","2025-09-16T01:41:52.209Z","Swing"
"e8343ab4-23db-439f-a82a-f4d444438fbe","StockWallet","false","414.76","2025-06-27T14:13:54.541Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","43","10.37","0","1","1","447.94","414.76","1","null","447.94","2025-09-16T01:41:58.978Z","Swing"
"c144cd36-225f-4691-ab05-84ac428dc570","StockWallet","","304.62","2025-04-23T14:21:36.861Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","104.96","34.46","0","1","1","328.99","304.62","1","null","328.99","2025-09-16T01:42:00.396Z","Hold"
"57fc4989-2b3c-4069-983a-62f2db8476d3","StockWallet","","299.53","2025-04-20T21:29:31.045Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","11.82","7.8924","0","1","0.5","323.49","149.76","0.5","null","323.49","2025-09-16T01:42:04.813Z","Hold"
"8ea9eca7-1ec7-4008-bd04-5a0d6795a5b7","StockWallet","false","391.03","2025-07-28T14:17:01.934Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","37.85","9.68","0","1","1","422.3124","391.03","1","null","422.3124","2025-09-16T01:42:07.506Z","Swing"
"59df9a00-e1a3-48bb-b67f-7b018d1cee95","StockWallet","","280.94","2025-04-20T21:43:26.437Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","27.53","19.5985","0","1","0.5","303.42","140.47","0.5","null","303.42","2025-09-16T01:42:20.730Z","Hold"
"fedcbb73-6d83-46e3-9468-ca48ad56216c","StockWallet","false","420.6","2025-07-16T14:10:44.804Z","487.896","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","0","0","1","0","0","454.248","420.6","1","null","454.248","2025-10-07T01:34:44.572Z","Hold"
"ec056f56-3368-4cea-bd8d-6f782be6395a","StockWallet","","300.18","2025-04-20T21:30:13.391Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","18.25","12.1594","0","1","0.5","324.19","150.09","0.5","null","324.19","2025-09-16T01:42:26.511Z","Hold"
"9f165b1a-f573-4645-bb90-77b89168162b","StockWallet","","356.63","2025-05-12T16:04:12.423Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","78.71","22.07","0","1","1","385.16","356.63","1","null","385.16","2025-09-16T01:42:27.187Z","Hold"
"7812fe09-adf3-4672-8ce1-61ae39ab5df4","StockWallet","","361.64","2025-05-14T13:33:50.668Z","","41cba5b0-1021-7096-098d-35d33590a2e6::41cba5b0-1021-7096-098d-35d33590a2e6","0ea11efc-15a7-4bf5-9651-5e46d7e10e76","30.5","8.43","0","1","1","390.57","361.64","1","null","390.57","2025-09-16T01:42:34.331Z","Swing"
